pid	margin	condition	start_date	end_date	lowstock
785	17.4	new	202208201733	202805181516	false
894	14.7	new	202302211051	202711270626	false
965	10.9	new	202211110809	202705300242	false
969	16.9	new	202205292246	202711080826	false
990	10.6	new	202211150129	202804251746	false
1008	11.5	used	202205212154	202703061203	true
1166	12.5	new	202206061916	202804171733	false
1168	10.3	used	202301160224	202804040428	false
1170	16.3	new	202306152103	202707191437	false
1172	19.3	new	202109101248	202607292121	false
1176	16.4	used	202206070209	202706280633	false
1178	16.9	new	202301100521	202711302219	false
1180	18.9	new	202207061035	202701262153	false
1193	16.7	new	202204161128	202710021743	false
1239	19.0	new	202304060519	202806141945	false
1243	10.1	new	202111150953	202708071427	false
1305	15.3	new	202201061316	202607170951	false
1306	16.0	new	202009070246	202710210048	false
1307	18.1	new	202207291326	202804262316	false
1308	16.3	new	202205010616	202712081216	false
1310	11.1	new	202210052154	202701080448	false
1322	10.7	used	202101250531	202805201213	false
1323	18.0	new	202110020400	202801211922	true
1326	18.5	new	202105300801	202709071535	false
1327	18.5	new	202104032045	202611202248	true
1355	15.0	new	202210031437	202805050716	false
1356	19.2	new	202008152209	202707050616	false
1357	10.1	new	202208010206	202712012319	false
1358	15.2	new	202102181624	202612040059	false
1359	11.4	new	202008201522	202703141145	false
1360	14.5	new	202104212134	202612040524	false
1361	10.3	new	202212251104	202804271610	false
1362	13.4	new	202108091852	202701110920	false
1058	16.9	new	202012310242	202705061239	false
1162	18.8	used	202212171422	202710290734	false
1167	16.1	used	202208280043	202701301351	false
1169	11.5	new	202304141211	202801041050	false
1171	15.1	new	202201122140	202707081745	false
1174	19.9	new	202301132340	202709132302	false
1177	18.9	new	202209120855	202611260618	false
1190	19.4	new	202011202112	202611022106	false
1192	10.2	new	202203191504	202701220137	false
1269	18.4	new	202012012356	202610211054	true
1395	12.7	new	202103280402	202711280151	false
1396	12.2	new	202110090706	202705221904	false
1397	15.7	new	202112102224	202710300351	false
1398	18.3	new	202208182302	202612131303	false
1416	19.1	new	202104130455	202704200211	false
1417	10.7	new	202103241638	202610081905	false
1418	18.3	new	202009212027	202803042145	false
1419	15.1	used	202210250206	202705312249	true
1420	13.1	new	202102171115	202804190050	false
1497	14.7	new	202211181710	202801160039	false
